algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
2,5000,400000,4.0531158447e-06,-1
2,61396,400000,4.0531158447e-06,-1
2,152503,400000,3.0994415283e-06,-1
2,214826,400000,3.0994415283e-06,-1
2,322486,400000,3.0994415283e-06,1
2,3128036,400000,4.0531158447e-06,1
2,6337399,400000,4.0531158447e-06,1
2,10393545,400000,4.0531158447e-06,1
2,14700764,400000,4.0531158447e-06,-1
2,187645041,400000,2.8610229492e-06,-1
2,450057883,400000,1.9073486328e-06,-1
2,1295390003,400000,1.9073486328e-06,-1
2,1360839354,400000,2.1457672119e-06,-1
2,1493283650,400000,3.0994415283e-06,-1
2,1843349527,400000,2.1457672119e-06,-1
2,1980098116,400000,2.8610229492e-06,-1
2,2109248666,400000,2.8610229492e-06,-1
2,2147445644,400000,1.9073486328e-06,-1
2,2147470852,400000,2.1457672119e-06,-1
 , ,promedio,=sum(D569:D588)/count(D569:D588), 
2,0,600000,3.0994415283e-06,1
2,5000,600000,2.8610229492e-06,-1
2,61396,600000,4.0531158447e-06,-1
2,152503,600000,4.0531158447e-06,-1
2,214826,600000,3.0994415283e-06,-1
2,322486,600000,3.0994415283e-06,1
2,3128036,600000,3.8146972656e-06,1
2,6337399,600000,5.0067901611e-06,1
2,10393545,600000,5.0067901611e-06,1
2,14700764,600000,3.8146972656e-06,-1
2,187645041,600000,3.0994415283e-06,-1
2,450057883,600000,1.9073486328e-06,-1
2,1295390003,600000,2.8610229492e-06,-1
2,1360839354,600000,1.9073486328e-06,-1
2,1493283650,600000,3.0994415283e-06,-1
2,1843349527,600000,2.8610229492e-06,-1
2,1980098116,600000,3.0994415283e-06,-1
2,2109248666,600000,3.0994415283e-06,-1
2,2147445644,600000,3.0994415283e-06,-1
2,2147470852,600000,3.0994415283e-06,-1
 , ,promedio,=sum(D590:D609)/count(D590:D609), 
2,0,800000,3.0994415283e-06,1
2,5000,800000,4.0531158447e-06,-1
2,61396,800000,4.0531158447e-06,-1
